,Sentence,ESG BERT Topic 1,ESG BERT Topic 2,ESG BERT Topic 3,Mapped Criteria Topic 1,Mapped Criteria Topic 2,Mapped Criteria Topic 3
Line 11,"I hope that The Foundation will accomplish good purposes, which will reflect to the benefit and goodwill of the company.","('Management_Of_Legal_And_Regulatory_Framework', 0.1798088252544403)","('Business_Ethics', 0.13214640319347382)","('Director_Removal', 0.13083648681640625)","('NON-ESG', 0.1798088252544403)","('NON-ESG', 0.13214640319347382)","('NON-ESG', 0.13083648681640625)"
Line 12,"- Jim Casey, UPS Founder 1957 First grant committee created to consider recommendations received from employees a practice that continues today.1959 More than 30 universities endowed with an initial investment of $30 million for programs and professors specializing in transportation, logistics, and human resources.","('Access_And_Affordability', 0.2925211191177368)","('Employee_Engagement_Inclusion_And_Diversity', 0.12373074889183044)","('Employee_Health_And_Safety', 0.08819784224033356)","('NON-ESG', 0.2925211191177368)","('NON-ESG', 0.12373074889183044)","('NON-ESG', 0.08819784224033356)"
Line 13,"Today, it is valued at over $330 million.1976 The 1907 Foundation was renamed The UPS Foundation.1963 The James E.","('Management_Of_Legal_And_Regulatory_Framework', 0.44633805751800537)","('Ecological_Impacts', 0.14479979872703552)","('Business_Ethics', 0.04830747842788696)","('NON-ESG', 0.44633805751800537)","('NON-ESG', 0.14479979872703552)","('NON-ESG', 0.04830747842788696)"
Line 14,Casey Scholarship program was introduced for children of UPS employees in the U.,"('Labor_Practices', 0.28294071555137634)","('Management_Of_Legal_And_Regulatory_Framework', 0.16642361879348755)","('Employee_Engagement_Inclusion_And_Diversity', 0.14509353041648865)","('NON-ESG', 0.28294071555137634)","('NON-ESG', 0.16642361879348755)","('NON-ESG', 0.14509353041648865)"
Line 15,S. who pursue a four-year degree.,"('Employee_Engagement_Inclusion_And_Diversity', 0.5384437441825867)","('Access_And_Affordability', 0.08323094248771667)","('Product_Design_And_Lifecycle_Management', 0.03150249272584915)","(['Talent Attraction & Retention'], 0.5384437441825867)","('NON-ESG', 0.08323094248771667)","('NON-ESG', 0.03150249272584915)"
Line 16,1980 UPS CEO George Lamb established a National Employee Giving Program with United Way to encourage volunteering and donating monetarily to local communities.,"('Human_Rights_And_Community_Relations', 0.3990781009197235)","('Access_And_Affordability', 0.271557480096817)","('Employee_Health_And_Safety', 0.08042547106742859)","('NON-ESG', 0.3990781009197235)","('NON-ESG', 0.271557480096817)","('NON-ESG', 0.08042547106742859)"
Line 17,1983 The George D.,"('Management_Of_Legal_And_Regulatory_Framework', 0.22179028391838074)","('Ecological_Impacts', 0.16222040355205536)","('Competitive_Behavior', 0.06467197835445404)","('NON-ESG', 0.22179028391838074)","('NON-ESG', 0.16222040355205536)","('NON-ESG', 0.06467197835445404)"
Line 18,"Smith Scholarship Program launched to provide scholarships to children of UPS employees pursuing a two-year degree or certification at an accredited junior or community college, business, vocational or technical school.","('Access_And_Affordability', 0.543911337852478)","('Employee_Engagement_Inclusion_And_Diversity', 0.15250904858112335)","('Product_Quality_And_Safety', 0.04067346826195717)","([], 0.543911337852478)","('NON-ESG', 0.15250904858112335)","('NON-ESG', 0.04067346826195717)"
Line 19,3I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Celebrating 70 years of community engagement.,"('Human_Rights_And_Community_Relations', 0.9552614092826843)","('Access_And_Affordability', 0.006739084143191576)","('Critical_Incident_Risk_Management', 0.003836454125121236)","(['Stakeholder Engagement'], 0.9552614092826843)","('NON-ESG', 0.006739084143191576)","('NON-ESG', 0.003836454125121236)"
Line 20,2009 UPS launched the UPS Road Code Teen Safe Driving Program.,"('Access_And_Affordability', 0.5525118112564087)","('Employee_Health_And_Safety', 0.11788775771856308)","('Product_Quality_And_Safety', 0.061535537242889404)","([], 0.5525118112564087)","('NON-ESG', 0.11788775771856308)","('NON-ESG', 0.061535537242889404)"
Line 21,"2016 UPS, Zipline and Gavi launched a medical drone partnership to deliver urgently needed blood, vaccines and medical supplies via drones to improve access to quality healthcare in Africa.2021 Established ambitious goals: 25% of charitable donations targeted toward underserved women, youth and marginalized communities 30 million volunteer hours by 2030 (2011 baseline) 50 million trees planted by 2030 2018 The Women Exporters Program launched to help women entrepreneurs trade across borders, overcome challenges, and forge new futures by expanding their businesses globally.","('Access_And_Affordability', 0.9270778298377991)","('Human_Rights_And_Community_Relations', 0.013058838434517384)","('Critical_Incident_Risk_Management', 0.006494687870144844)","([], 0.9270778298377991)","('NON-ESG', 0.013058838434517384)","('NON-ESG', 0.006494687870144844)"
Line 22,"2016 UPS, Zipline and Gavi launched a medical drone partnership to deliver urgently needed blood, vaccines and medical supplies via drones to improve access to quality healthcare in Africa.2021 Established ambitious goals: 25% of charitable donations targeted toward underserved women, youth and marginalized communities 30 million volunteer hours by 2030 (2011 baseline) 50 million trees planted by 2030 2018 The Women Exporters Program launched to help women entrepreneurs trade across borders, overcome challenges, and forge new futures by expanding their businesses globally.","('Competitive_Behavior', 0.4115138649940491)","('Business_Model_Resilience', 0.17524737119674683)","('Systemic_Risk_Management', 0.14478199183940887)","('NON-ESG', 0.4115138649940491)","('NON-ESG', 0.17524737119674683)","('NON-ESG', 0.14478199183940887)"
Line 23,LEARN MORE 2014 James E.,"('Management_Of_Legal_And_Regulatory_Framework', 0.21349458396434784)","('Employee_Engagement_Inclusion_And_Diversity', 0.10904587060213089)","('Business_Ethics', 0.07878120988607407)","('NON-ESG', 0.21349458396434784)","('NON-ESG', 0.10904587060213089)","('NON-ESG', 0.07878120988607407)"
Line 24,Casey scholarship program expanded to provide college scholarships to children of UPS employees outside the US.1995 The Jim Casey Community Service Award was established as UPSs way of recognizing UPSers who go above and beyond in giving back to their community.,"('Human_Rights_And_Community_Relations', 0.387966126203537)","('Access_And_Affordability', 0.3107517659664154)","('Employee_Health_And_Safety', 0.058781422674655914)","('NON-ESG', 0.387966126203537)","('NON-ESG', 0.3107517659664154)","('NON-ESG', 0.058781422674655914)"
Line 25,LEARN MORE 4Celebrating 70 Years of The UPS Foundation Service is in our DNA.,"('Management_Of_Legal_And_Regulatory_Framework', 0.6144559383392334)","('Business_Model_Resilience', 0.060491595417261124)","('Director_Removal', 0.034417491406202316)","([], 0.6144559383392334)","('NON-ESG', 0.060491595417261124)","('NON-ESG', 0.034417491406202316)"
Line 26,"Our founder, Jim Casey, was ahead of his time when he created The UPS Foundation more than 70 years ago.","('Director_Removal', 0.2092260867357254)","('Management_Of_Legal_And_Regulatory_Framework', 0.14284871518611908)","('Business_Model_Resilience', 0.1312616765499115)","('NON-ESG', 0.2092260867357254)","('NON-ESG', 0.14284871518611908)","('NON-ESG', 0.1312616765499115)"
Line 27,The UPS Foundation is rooted in Jims belief that the companys success is defined not only by its achievements in business but also by its pledge.,"('Business_Model_Resilience', 0.26011526584625244)","('Competitive_Behavior', 0.2103365659713745)","('Business_Ethics', 0.08021583408117294)","('NON-ESG', 0.26011526584625244)","('NON-ESG', 0.2103365659713745)","('NON-ESG', 0.08021583408117294)"
Line 28,"As we celebrated this milestone, we honored our Founders vision of a company that embraces and partners with its community to deliver meaningful impact.","('Human_Rights_And_Community_Relations', 0.8182300925254822)","('Employee_Engagement_Inclusion_And_Diversity', 0.0314498171210289)","('Access_And_Affordability', 0.02411949448287487)","(['Stakeholder Engagement'], 0.8182300925254822)","('NON-ESG', 0.0314498171210289)","('NON-ESG', 0.02411949448287487)"
Line 29,"As part of the celebration, we announced a new direction that focuses our work and charitable giving on the tenets of equity and justice in the most vulnerable and underserved communities.","('Access_And_Affordability', 0.9413481950759888)","('Human_Rights_And_Community_Relations', 0.00785622838884592)","('Product_Quality_And_Safety', 0.004782803822308779)","([], 0.9413481950759888)","('NON-ESG', 0.00785622838884592)","('NON-ESG', 0.004782803822308779)"
Line 30,"5I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection The United Nations established the Sustainable Development Goals (SDGs) as a framework to guide governments, businesses, and civil society as they work together to address the worlds most pressing needs.","('Human_Rights_And_Community_Relations', 0.9301037192344666)","('Access_And_Affordability', 0.013285861350595951)","('Critical_Incident_Risk_Management', 0.006037452723830938)","(['Stakeholder Engagement'], 0.9301037192344666)","('NON-ESG', 0.013285861350595951)","('NON-ESG', 0.006037452723830938)"
Line 31,The relevance and importance of the 17 SDGs are being reinforced every day.,"('Management_Of_Legal_And_Regulatory_Framework', 0.419427752494812)","('Human_Rights_And_Community_Relations', 0.11339828372001648)","('Ecological_Impacts', 0.09117720276117325)","('NON-ESG', 0.419427752494812)","('NON-ESG', 0.11339828372001648)","('NON-ESG', 0.09117720276117325)"
Line 32,"There is heightened global awareness about the need to strengthen access to healthcare, education and economic opportunities for all.","('Access_And_Affordability', 0.9286141395568848)","('Human_Rights_And_Community_Relations', 0.009469117969274521)","('Product_Quality_And_Safety', 0.006498168222606182)","([], 0.9286141395568848)","('NON-ESG', 0.009469117969274521)","('NON-ESG', 0.006498168222606182)"
Line 33,"Through its four focus areas, The UPS Foundations work is targeted at successfully advancing support for these five SDGs.The SDGs are a worldwide collective promise to create positive and lasting changeUPSs sustainability goals arent just promises weve made; they come with clear milestones and action plans aimed at moving our world forward by delivering what matters.","('Business_Model_Resilience', 0.42330196499824524)","('Human_Rights_And_Community_Relations', 0.18785496056079865)","('Physical_Impacts_Of_Climate_Change', 0.069302037358284)","('NON-ESG', 0.42330196499824524)","('NON-ESG', 0.18785496056079865)","('NON-ESG', 0.069302037358284)"
Line 34,"Laura Lane , Chief Corporate Affairs Officer at UPSBlueprint for peace and prosperity for the planet 6 3 10 11 15 17Leveraging our partnerships and innovative logistical expertise to deliver health and humanitarian solutions to underserved and impacted communities.","('Access_And_Affordability', 0.9394488334655762)","('Human_Rights_And_Community_Relations', 0.007144891191273928)","('Critical_Incident_Risk_Management', 0.005212628748267889)","([], 0.9394488334655762)","('NON-ESG', 0.007144891191273928)","('NON-ESG', 0.005212628748267889)"
Line 35,"Goal: Improve the well-being of 1 billion people by 2040Chapter 1 Health & Humanitarian ReliefI Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection UNHCR/HASSIB SEDIQI 2 3 10 11 17Related Sustainable Development Goals2.2K shipments of humanitarian supplies30+ humanitarian crises responded to globally$23M in funding, in-kind, and technical support 7I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Advancing global vaccine equity with innovation Imagine a drone lifting off to deliver urgently-needed COVID-19 vaccines to some of the most remote villages in Ghana.","('Critical_Incident_Risk_Management', 0.4536808431148529)","('Human_Rights_And_Community_Relations', 0.29542240500450134)","('Access_And_Affordability', 0.06585820019245148)","('NON-ESG', 0.4536808431148529)","('NON-ESG', 0.29542240500450134)","('NON-ESG', 0.06585820019245148)"
Line 36,"Goal: Improve the well-being of 1 billion people by 2040Chapter 1 Health & Humanitarian ReliefI Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection UNHCR/HASSIB SEDIQI 2 3 10 11 17Related Sustainable Development Goals2.2K shipments of humanitarian supplies30+ humanitarian crises responded to globally$23M in funding, in-kind, and technical support 7I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Advancing global vaccine equity with innovation Imagine a drone lifting off to deliver urgently-needed COVID-19 vaccines to some of the most remote villages in Ghana.","('Access_And_Affordability', 0.35439833998680115)","('Customer_Welfare', 0.1311848908662796)","('Energy_Management', 0.0660984069108963)","('NON-ESG', 0.35439833998680115)","('NON-ESG', 0.1311848908662796)","('NON-ESG', 0.0660984069108963)"
Line 37,Its the kind of innovative solution that The UPS Foundation used to deliver more than 34.5 million doses of the vaccine to underserved countries around the world.,"('Access_And_Affordability', 0.9437967538833618)","('Critical_Incident_Risk_Management', 0.005030179861932993)","('Product_Quality_And_Safety', 0.00490159448236227)","([], 0.9437967538833618)","('NON-ESG', 0.005030179861932993)","('NON-ESG', 0.00490159448236227)"
Line 38,"By aligning UPSs logistics capabilities, the dedication and expertise of its people, with the mission of partners such as CARE, Gavi, UNICEF, and Zipline, The UPS Foundation played a critical role in helping to accelerate vaccine equity and health systems capacity.","('Access_And_Affordability', 0.318397581577301)","('Customer_Welfare', 0.11969782412052155)","('Business_Model_Resilience', 0.06908465176820755)","('NON-ESG', 0.318397581577301)","('NON-ESG', 0.11969782412052155)","('NON-ESG', 0.06908465176820755)"
Line 39,"Overall, UPSers have delivered more than 1 billion doses of COVID-19 vaccines in 110 countriesdelivering hope and health solutions to underserved communities.","('Access_And_Affordability', 0.9459913969039917)","('Product_Quality_And_Safety', 0.004667080007493496)","('Human_Rights_And_Community_Relations', 0.004484209697693586)","([], 0.9459913969039917)","('NON-ESG', 0.004667080007493496)","('NON-ESG', 0.004484209697693586)"
Line 40,"LEARN MORE 5 countries helped by UPS Humanitarian Experts on Mission254 cold-chain freezers donated $2M in vaccine equity funding19 countries supported34.5M COVID-19 vaccines delivered in-kind to countries in need (of the total $1B delivered by UPS) 8I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Strengthening cold chain capabilities in Central America Due to inconsistencies in cold chains, the Belize Ministry of Health and Wellness was challenged to successfully transport biological samples from rural health centers to the National Medical Lab in Belize City.","('Critical_Incident_Risk_Management', 0.7797957062721252)","('Employee_Health_And_Safety', 0.04202139377593994)","('Access_And_Affordability', 0.030023977160453796)","(['Risk & Crisis Management'], 0.7797957062721252)","('NON-ESG', 0.04202139377593994)","('NON-ESG', 0.030023977160453796)"
Line 41,"LEARN MORE 5 countries helped by UPS Humanitarian Experts on Mission254 cold-chain freezers donated $2M in vaccine equity funding19 countries supported34.5M COVID-19 vaccines delivered in-kind to countries in need (of the total $1B delivered by UPS) 8I Health & Humanitarian Relief I Equity & Economic Empowerment I Local Community Engagement I Planet Protection Strengthening cold chain capabilities in Central America Due to inconsistencies in cold chains, the Belize Ministry of Health and Wellness was challenged to successfully transport biological samples from rural health centers to the National Medical Lab in Belize City.","('Waste_And_Hazardous_Materials_Management', 0.21684934198856354)","('Water_And_Wastewater_Management', 0.15308301150798798)","('Selling_Practices_And_Product_Labeling', 0.07607124745845795)","('NON-ESG', 0.21684934198856354)","('NON-ESG', 0.15308301150798798)","('NON-ESG', 0.07607124745845795)"
Line 42,"Through its partnership with the University of Notre Dame Pulte Institute and the Ministry of Health, The UPS Foundation donated 40 thermal shipping containers that would provide the stable cold chain environment needed to safely transport the biologic samples.","('Waste_And_Hazardous_Materials_Management', 0.26927322149276733)","('Customer_Welfare', 0.13429109752178192)","('Water_And_Wastewater_Management', 0.06860999017953873)","('NON-ESG', 0.26927322149276733)","('NON-ESG', 0.13429109752178192)","('NON-ESG', 0.06860999017953873)"
Line 43,"UPS Healthcare stepped in to provide technical support, training the users on the proper use of cold chain packaging.","('Product_Design_And_Lifecycle_Management', 0.8755142688751221)","('Waste_And_Hazardous_Materials_Management', 0.02324029989540577)","('Supply_Chain_Management', 0.018093053251504898)","([], 0.8755142688751221)","('NON-ESG', 0.02324029989540577)","('NON-ESG', 0.018093053251504898)"
